Sales,Income,Competitors
464,60,1
552,61,1
377,52,1
674,67,1
560,63,1
523,61,1
546,60,1
569,61,0
579,58,0
502,56,1
615,62,0
551,52,1
400,54,1
434,58,1
534,54,0
500,51,0
475,58,0
521,71,0
490,60,3
455,72,2
486,61,3
551,77,3
577,69,3
514,70,3
509,48,2
609,71,2
531,57,3
359,55,3
503,59,3
521,58,2
554,74,2
475,54,3
473,51,2
834,86,2
459,63,3
346,59,2
709,83,3
310,54,2
477,77,3
587,76,3
430,54,3
504,53,2
559,62,3
464,64,2
457,50,2
475,63,2
534,66,3
377,61,3
400,62,2
609,86,4
611,83,4
504,61,4
458,59,5
304,52,5
640,90,5
485,66,4
538,83,4
437,62,4
767,91,5
358,64,5
486,70,5
404,54,4
562,69,4
487,68,4
839,105,6
,86,5
,72,2
,79,3
